year,all,bunds,check_dams,infiltration_ponds,Good Condition,Damaged,Destroyed
1998,65549.5,61752,2157.5,1215,5757.5,56952,0
1999,65549.5,61752,2157.5,1215,5757.5,56952,0
2000,91222.65,67377,21308.65,2113,19916.25,67665.4,3217
2001,96079.15,67377,25922.65,2355.5,20756.25,71351.9,3547
2002,96756.95,67377,26492.65,2463.3,20756.25,72029.7,3547
2003,100289.2,67377,30084.85,2463.3,23247.45,73039.7,3638
2004,100289.2,67377,30084.85,2463.3,23247.45,73039.7,3638
2005,100289.2,67377,30084.85,2463.3,23247.45,73039.7,3638
2006,100289.2,67377,30084.85,2463.3,23247.45,73039.7,3638
2007,100289.2,67377,30084.85,2463.3,23247.45,73039.7,3638
2008,101196.2,67377,30084.85,3370.3,23704.45,73489.7,3638
2009,102975.6,67377,30084.85,5149.7,24276.95,74552.1,3782.5
2010,104508,67377,30084.85,6682.1,24991.35,75370.1,3782.5
2011,113864,75945,30744.85,6810.1,34219.35,75498.1,3782.5
2012,113983,75945,30744.85,6929.1,34219.35,75617.1,3782.5
