year,cumTotal,cumAv
1970,54,8.9
1971,54,8.9
1972,54,8.9
1973,55,8.8
1974,55,8.8
1975,60,8.8
1976,60,8.8
1977,60,8.8
1978,62,8.7
1979,62,8.7
1980,86,9.8
1981,86,9.8
1982,86,9.8
1983,86,9.8
1984,86,9.8
1985,96,13.9
1986,96,13.9
1987,97,14.4
1988,100,14.6
1989,100,14.6
1990,124,16.1
1991,125,16.9
1992,135,19.5
1993,136,19.8
1994,137,19.7
1995,151,21.7
1996,159,24.4
1997,163,26.5
1998,176,26.9
1999,178,27.1
2000,209,30.8
2001,222,32.0
2002,269,34.7
2003,284,35.3
2004,298,36.7
2005,321,37.6
2006,345,39.5
2007,372,40.7
2008,414,43.3
2009,462,45.4
2010,501,47.2
2011,551,48.6
2012,573,49.7
