year,month,rainfall
1987,Jan,0
1987,Feb,0
1987,Mar,0
1987,Apr,0
1987,May,111.2
1987,Jun,86.4
1987,Jul,11.2
1987,Aug,85
1987,Sep,61.4
1987,Oct,158.6
1987,Nov,60
1987,Dec,1.2
1988,Jan,0
1988,Feb,0
1988,Mar,23.8
1988,Apr,38.2
1988,May,14.8
1988,Jun,54.2
1988,Jul,164.4
1988,Aug,147.8
1988,Sep,120.4
1988,Oct,14.4
1988,Nov,0
1988,Dec,5.6
1989,Jan,0
1989,Feb,0
1989,Mar,63
1989,Apr,5.2
1989,May,39.6
1989,Jun,37.6
1989,Jul,218.2
1989,Aug,50.6
1989,Sep,113.2
1989,Oct,13.8
1989,Nov,18.6
1989,Dec,0
1990,Jan,0
1990,Feb,0
1990,Mar,0
1990,Apr,3.4
1990,May,59.3
1990,Jun,27.6
1990,Jul,39.8
1990,Aug,117.4
1990,Sep,85.2
1990,Oct,148
1990,Nov,8.4
1990,Dec,0
1991,Jan,0
1991,Feb,0
1991,Mar,0
1991,Apr,5.4
1991,May,28.6
1991,Jun,185.4
1991,Jul,69.6
1991,Aug,57.6
1991,Sep,45.6
1991,Oct,19.2
1991,Nov,36.6
1991,Dec,0
1992,Jan,0
1992,Feb,0
1992,Mar,0
1992,Apr,0
1992,May,30
1992,Jun,59.8
1992,Jul,92.2
1992,Aug,122.6
1992,Sep,28.8
1992,Oct,54.2
1992,Nov,62.2
1992,Dec,0
1993,Jan,0
1993,Feb,0
1993,Mar,0
1993,Apr,3.4
1993,May,4.2
1993,Jun,13.2
1993,Jul,68.6
1993,Aug,79.4
1993,Sep,197.8
1993,Oct,101.7
1993,Nov,116.1
1993,Dec,180.5
1994,Jan,0
1994,Feb,44
1994,Mar,0
1994,Apr,23
1994,May,23
1994,Jun,13.6
1994,Jul,24
1994,Aug,104.8
1994,Sep,3.2
1994,Oct,267
1994,Nov,28.4
1994,Dec,0
1995,Jan,0
1995,Feb,0
1995,Mar,0
1995,Apr,2
1995,May,48.8
1995,Jun,63.8
1995,Jul,93.8
1995,Aug,129.8
1995,Sep,54.6
1995,Oct,99
1995,Nov,6.6
1995,Dec,0
1996,Jan,0
1996,Feb,0
1996,Mar,0
1996,Apr,29.6
1996,May,0
1996,Jun,172
1996,Jul,40.8
1996,Aug,133.4
1996,Sep,144.8
1996,Oct,293.2
1996,Nov,3.8
1996,Dec,7
1997,Jan,15
1997,Feb,0
1997,Mar,0
1997,Apr,21.8
1997,May,75
1997,Jun,72.6
1997,Jul,17.6
1997,Aug,67.2
1997,Sep,191.6
1997,Oct,70.8
1997,Nov,31.2
1997,Dec,9
1998,Jan,0
1998,Feb,0
1998,Mar,0
1998,Apr,34
1998,May,34.6
1998,Jun,65.9
1998,Jul,78.7
1998,Aug,180.4
1998,Sep,305.8
1998,Oct,193
1998,Nov,9.8
1998,Dec,0
1999,Jan,0
1999,Feb,6.6
1999,Mar,0
1999,Apr,8.8
1999,May,53.8
1999,Jun,46.6
1999,Jul,30.2
1999,Aug,105.7
1999,Sep,45.4
1999,Oct,47.6
1999,Nov,0
1999,Dec,0
2000,Jan,0
2000,Feb,0
2000,Mar,0
2000,Apr,7.4
2000,May,49.8
2000,Jun,119
2000,Jul,155
2000,Aug,204
2000,Sep,90.8
2000,Oct,65.2
2000,Nov,4.2
2000,Dec,6.6
2001,Jan,0
2001,Feb,0
2001,Mar,3
2001,Apr,84.4
2001,May,0
2001,Jun,61.4
2001,Jul,6.6
2001,Aug,176
2001,Sep,200.4
2001,Oct,169.2
2001,Nov,26.6
2001,Dec,0
2002,Jan,0
2002,Feb,0
2002,Mar,0
2002,Apr,0
2002,May,21
2002,Jun,72.8
2002,Jul,79
2002,Aug,78.1
2002,Sep,39.2
2002,Oct,100.6
2002,Nov,22.4
2002,Dec,0
2003,Jan,0
2003,Feb,0
2003,Mar,1.8
2003,Apr,7.4
2003,May,0
2003,Jun,47.8
2003,Jul,59.8
2003,Aug,93.6
2003,Sep,98.5
2003,Oct,70.6
2003,Nov,0
2003,Dec,0
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,69
2004,May,105.1
2004,Jun,25
2004,Jul,63.6
2004,Aug,23.2
2004,Sep,86
2004,Oct,44
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,58.6
2005,May,14.4
2005,Jun,2.4
2005,Jul,180.6
2005,Aug,144
2005,Sep,154.2
2005,Oct,298.6
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,70.4
2006,Apr,5.6
2006,May,140.4
2006,Jun,220
2006,Jul,45.4
2006,Aug,22.4
2006,Sep,148.8
2006,Oct,34.6
2006,Nov,138
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,45.6
2007,May,29.8
2007,Jun,640.8
2007,Jul,43.8
2007,Aug,206.6
2007,Sep,410.2
2007,Oct,67.2
2007,Nov,8.8
2007,Dec,6.6
2008,Jan,0
2008,Feb,0
2008,Mar,77.1
2008,Apr,0
2008,May,19.2
2008,Jun,41.4
2008,Jul,64.8
2008,Aug,47.1
2008,Sep,150.2
2008,Oct,122
2008,Nov,21.8
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,23.8
2009,Jun,59.4
2009,Jul,2.8
2009,Aug,106.1
2009,Sep,140.6
2009,Oct,93.8
2009,Nov,83.4
2009,Dec,3.2
2010,Jan,0
2010,Feb,0
2010,Mar,0
2010,Apr,23.4
2010,May,16.8
2010,Jun,29.2
2010,Jul,158.2
2010,Aug,320
2010,Sep,87.6
2010,Oct,126.4
2010,Nov,49.8
2010,Dec,9.6
2011,Jan,0
2011,Feb,8.2
2011,Mar,0
2011,Apr,8.8
2011,May,5.8
2011,Jun,60.4
2011,Jul,138.2
2011,Aug,67.4
2011,Sep,28.6
2011,Oct,90.8
2011,Nov,27
2011,Dec,0
